Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train time (s),Confusion matrix
Decision Tree,0.929825,0.957143,0.930556,0.943662,0.916667,0.006202,"[[39,3],[5,67]]"
SVM,0.964912,0.985714,0.958333,0.971831,0.994048,0.013129,"[[41,1],[3,69]]"
Neural Network,0.921053,1.000000,0.875000,0.933333,0.995701,0.032513,"[[42,0],[9,63]]"
